QuoteId,QuoteNumber,QuoteName,PartnerAccountName,EndUserAccountName,QuoteDate,ProductSKU,ProductName,MSRP,Quantity,DiscountPercent,NetPrice
Q0835,QT-2024-0835,MetroMart Holdings - Solution #835,Quantum Solutions 32,MetroMart Holdings,2024-01-01,RAD-100,Radio Handheld Basic,299,25,35.3,4836.63
Q0835,QT-2024-0835,MetroMart Holdings - Solution #835,Quantum Solutions 32,MetroMart Holdings,2024-01-01,RAD-200,Radio Handheld Pro,499,21,38.51,6443.26
Q0835,QT-2024-0835,MetroMart Holdings - Solution #835,Quantum Solutions 32,MetroMart Holdings,2024-01-01,SRV-EDGE,Edge Server Small,2499,13,56.02,14288.49
Q0835,QT-2024-0835,MetroMart Holdings - Solution #835,Quantum Solutions 32,MetroMart Holdings,2024-01-01,RAD-100,Radio Handheld Basic,299,13,50.34,1930.47
Q0835,QT-2024-0835,MetroMart Holdings - Solution #835,Quantum Solutions 32,MetroMart Holdings,2024-01-01,RAD-200,Radio Handheld Pro,499,25,43.2,7085.64
Q1421,QT-2024-1421,BlueShield Government Ops - Solution #1421,EverlineRetail 80,BlueShield Government Ops,2024-01-02,RAD-100,Radio Handheld Basic,299,20,12.13,5254.33
Q0136,QT-2024-0136,PioneerSecurity 21 - Solution #136,Everline Solutions 40,PioneerSecurity 21,2024-01-03,LIC-ANALYTICS,Analytics License Per Device,99,15,15.87,1249.32
Q0095,QT-2024-0095,Nova Stores 23 - Solution #95,Orion Group 42,Nova Stores 23,2024-01-04,CAM-1000,Indoor 1080p Camera,199,12,17.51,1969.87
Q1050,QT-2024-1050,Prime Telecom 55 - Solution #1050,Prime Stores 9,Prime Telecom 55,2024-01-04,SRV-EDGE,Edge Server Small,2499,14,29.73,24585.52
Q1050,QT-2024-1050,Prime Telecom 55 - Solution #1050,Prime Stores 9,Prime Telecom 55,2024-01-04,RAD-100,Radio Handheld Basic,299,5,21.08,1179.92
Q1050,QT-2024-1050,Prime Telecom 55 - Solution #1050,Prime Stores 9,Prime Telecom 55,2024-01-04,RAD-200,Radio Handheld Pro,499,4,14.82,1700.15
Q1424,QT-2024-1424,Prime Telecom 55 - Solution #1424,Skyline Group 32,Prime Telecom 55,2024-01-04,RAD-200,Radio Handheld Pro,499,9,23.46,3437.32
Q1424,QT-2024-1424,Prime Telecom 55 - Solution #1424,Skyline Group 32,Prime Telecom 55,2024-01-04,LIC-ANALYTICS,Analytics License Per Device,99,11,18.86,883.61
Q1424,QT-2024-1424,Prime Telecom 55 - Solution #1424,Skyline Group 32,Prime Telecom 55,2024-01-04,LIC-CLOUD,Cloud Storage 1TB,149,8,20.78,944.31
Q1424,QT-2024-1424,Prime Telecom 55 - Solution #1424,Skyline Group 32,Prime Telecom 55,2024-01-04,RAD-200,Radio Handheld Pro,499,15,3.39,7230.91
Q1424,QT-2024-1424,Prime Telecom 55 - Solution #1424,Skyline Group 32,Prime Telecom 55,2024-01-04,RAD-100,Radio Handheld Basic,299,7,0.53,2081.87
Q0714,QT-2024-0714,Lowtown Outlet 01 - Solution #714,Quantum Solutions 32,Lowtown Outlet 01,2024-01-06,RAD-200,Radio Handheld Pro,499,1,53.63,231.39
Q0714,QT-2024-0714,Lowtown Outlet 01 - Solution #714,Quantum Solutions 32,Lowtown Outlet 01,2024-01-06,SRV-PRO,Processing Server Large,5999,3,65.69,6174.9
Q0714,QT-2024-0714,Lowtown Outlet 01 - Solution #714,Quantum Solutions 32,Lowtown Outlet 01,2024-01-06,RAD-100,Radio Handheld Basic,299,1,62.81,111.18
Q0714,QT-2024-0714,Lowtown Outlet 01 - Solution #714,Quantum Solutions 32,Lowtown Outlet 01,2024-01-06,RAD-100,Radio Handheld Basic,299,2,54.26,273.53
Q0714,QT-2024-0714,Lowtown Outlet 01 - Solution #714,Quantum Solutions 32,Lowtown Outlet 01,2024-01-06,LIC-CLOUD,Cloud Storage 1TB,149,1,72.06,41.62
Q1244,QT-2024-1244,UrbanSecurity 93 - Solution #1244,VertexSecurity 76,UrbanSecurity 93,2024-01-06,LIC-CLOUD,Cloud Storage 1TB,149,3,19.6,359.39
Q1244,QT-2024-1244,UrbanSecurity 93 - Solution #1244,VertexSecurity 76,UrbanSecurity 93,2024-01-06,RAD-200,Radio Handheld Pro,499,4,11.51,1766.18
Q1244,QT-2024-1244,UrbanSecurity 93 - Solution #1244,VertexSecurity 76,UrbanSecurity 93,2024-01-06,SRV-PRO,Processing Server Large,5999,5,12.21,26333.53
Q0468,QT-2024-0468,MetroMart Holdings - Solution #468,Summit Group 54,MetroMart Holdings,2024-01-07,RAD-100,Radio Handheld Basic,299,10,32.56,2016.55
Q0468,QT-2024-0468,MetroMart Holdings - Solution #468,Summit Group 54,MetroMart Holdings,2024-01-07,RAD-100,Radio Handheld Basic,299,29,42.45,4990.14
Q0468,QT-2024-0468,MetroMart Holdings - Solution #468,Summit Group 54,MetroMart Holdings,2024-01-07,SRV-EDGE,Edge Server Small,2499,12,34.55,19627.64
Q0509,QT-2024-0509,Lowtown Outlet 01 - Solution #509,Quantum Services 33,Lowtown Outlet 01,2024-01-07,CAM-1000,Indoor 1080p Camera,199,1,45.7,108.06
Q0509,QT-2024-0509,Lowtown Outlet 01 - Solution #509,Quantum Services 33,Lowtown Outlet 01,2024-01-07,RAD-100,Radio Handheld Basic,299,3,63.43,328.06
Q0509,QT-2024-0509,Lowtown Outlet 01 - Solution #509,Quantum Services 33,Lowtown Outlet 01,2024-01-07,LIC-ANALYTICS,Analytics License Per Device,99,1,79.01,20.78
Q1072,QT-2024-1072,VertexSecurity 36 - Solution #1072,Everline Logistics 63,VertexSecurity 36,2024-01-07,LIC-ANALYTICS,Analytics License Per Device,99,11,2.5,1061.75
Q1072,QT-2024-1072,VertexSecurity 36 - Solution #1072,Everline Logistics 63,VertexSecurity 36,2024-01-07,RAD-100,Radio Handheld Basic,299,19,6.94,5286.64
Q0278,QT-2024-0278,Everline Group 32 - Solution #278,PioneerSecurity 77,Everline Group 32,2024-01-08,LIC-CLOUD,Cloud Storage 1TB,149,14,9.87,1880.14
Q0278,QT-2024-0278,Everline Group 32 - Solution #278,PioneerSecurity 77,Everline Group 32,2024-01-08,LIC-ANALYTICS,Analytics License Per Device,99,13,20.71,1020.45
Q0278,QT-2024-0278,Everline Group 32 - Solution #278,PioneerSecurity 77,Everline Group 32,2024-01-08,CAM-1000,Indoor 1080p Camera,199,8,12.92,1386.39
Q0278,QT-2024-0278,Everline Group 32 - Solution #278,PioneerSecurity 77,Everline Group 32,2024-01-08,SRV-EDGE,Edge Server Small,2499,9,7.12,20890.33
Q0559,QT-2024-0559,SkylineRetail 12 - Solution #559,Pioneer Stores 19,SkylineRetail 12,2024-01-08,CAM-1000,Indoor 1080p Camera,199,17,19.79,2713.35
Q0800,QT-2024-0800,NovaCity Infrastructure - Solution #800,Summit Solutions 78,NovaCity Infrastructure,2024-01-08,RAD-100,Radio Handheld Basic,299,21,18.82,5097.41
Q0800,QT-2024-0800,NovaCity Infrastructure - Solution #800,Summit Solutions 78,NovaCity Infrastructure,2024-01-08,SRV-PRO,Processing Server Large,5999,19,12.39,99855.22
Q0800,QT-2024-0800,NovaCity Infrastructure - Solution #800,Summit Solutions 78,NovaCity Infrastructure,2024-01-08,RAD-100,Radio Handheld Basic,299,6,7.07,1667.23
Q0800,QT-2024-0800,NovaCity Infrastructure - Solution #800,Summit Solutions 78,NovaCity Infrastructure,2024-01-08,RAD-100,Radio Handheld Basic,299,16,5.85,4504.08
Q0800,QT-2024-0800,NovaCity Infrastructure - Solution #800,Summit Solutions 78,NovaCity Infrastructure,2024-01-08,RAD-200,Radio Handheld Pro,499,16,9.29,7242.32
Q0144,QT-2024-0144,Quantum Holdings 25 - Solution #144,UrbanSecurity 32,Quantum Holdings 25,2024-01-09,RAD-100,Radio Handheld Basic,299,7,15.7,1764.36
Q0144,QT-2024-0144,Quantum Holdings 25 - Solution #144,UrbanSecurity 32,Quantum Holdings 25,2024-01-09,RAD-100,Radio Handheld Basic,299,15,21.5,3520.77
Q0144,QT-2024-0144,Quantum Holdings 25 - Solution #144,UrbanSecurity 32,Quantum Holdings 25,2024-01-09,CAM-360X,360° Dome Camera,499,4,14.74,1701.8
Q0144,QT-2024-0144,Quantum Holdings 25 - Solution #144,UrbanSecurity 32,Quantum Holdings 25,2024-01-09,ACC-MOUNT,Universal Wall Mount,39,11,19.78,344.16
Q0492,QT-2024-0492,SkylineRetail 12 - Solution #492,Quantum Solutions 32,SkylineRetail 12,2024-01-10,LIC-CLOUD,Cloud Storage 1TB,149,16,19.06,1929.57
Q0492,QT-2024-0492,SkylineRetail 12 - Solution #492,Quantum Solutions 32,SkylineRetail 12,2024-01-10,LIC-ANALYTICS,Analytics License Per Device,99,3,13.47,257.01
Q0492,QT-2024-0492,SkylineRetail 12 - Solution #492,Quantum Solutions 32,SkylineRetail 12,2024-01-10,LIC-ANALYTICS,Analytics License Per Device,99,15,16.81,1235.43
Q0492,QT-2024-0492,SkylineRetail 12 - Solution #492,Quantum Solutions 32,SkylineRetail 12,2024-01-10,LIC-ANALYTICS,Analytics License Per Device,99,20,8.95,1802.81
Q0492,QT-2024-0492,SkylineRetail 12 - Solution #492,Quantum Solutions 32,SkylineRetail 12,2024-01-10,LIC-ANALYTICS,Analytics License Per Device,99,1,3.12,95.91
Q0575,QT-2024-0575,Lowtown Outlet 01 - Solution #575,VertexSecurity 76,Lowtown Outlet 01,2024-01-10,SRV-EDGE,Edge Server Small,2499,1,55.06,1122.99
Q1219,QT-2024-1219,Skyline Telecom 6 - Solution #1219,Pioneer Group 14,Skyline Telecom 6,2024-01-10,CAM-360X,360° Dome Camera,499,6,2.96,2905.37
Q1219,QT-2024-1219,Skyline Telecom 6 - Solution #1219,Pioneer Group 14,Skyline Telecom 6,2024-01-10,CAM-360X,360° Dome Camera,499,15,10.7,6683.76
